km_driven,mileage,age,Petrol,Diesel,Electric,fuel_type
17731,22.7,6,1,0,0,Petrol
35701,20.73,7,1,0,0,Petrol
36000,16.25,10,1,0,0,Petrol
81754,20.77,10,0,1,0,Diesel
50000,18.49,4,0,1,0,Diesel
40000,21.21,6,1,0,0,Petrol
35000,18.9,6,1,0,0,Petrol
70000,22.54,7,0,1,0,Diesel
42000,20.92,10,1,0,0,Petrol
32500,15.8,6,1,0,0,Petrol
65894,16.47,12,1,0,0,Petrol
91288,24.0,7,0,1,0,Diesel
30000,12.99,9,0,1,0,Diesel
68000,14.66,12,0,1,0,Diesel
50000,18.0,14,1,0,0,Petrol
80000,22.9,11,0,1,0,Diesel
65000,21.19,6,0,1,0,Diesel
32400,17.92,13,1,0,0,Petrol
32000,18.6,12,1,0,0,Petrol
30000,17.6,6,0,1,0,Diesel
30000,20.63,8,1,0,0,Petrol
53000,17.21,7,1,0,0,Petrol
70000,21.9,7,0,1,0,Diesel
150000,18.2,7,0,1,0,Diesel
95000,12.8,10,0,1,0,Diesel
105610,22.74,8,1,0,0,Petrol
41000,17.43,8,1,0,0,Petrol
25000,12.99,8,0,1,0,Diesel
72000,24.52,7,0,1,0,Diesel
38900,19.87,10,0,1,0,Diesel
57500,26.0,9,0,1,0,Diesel
90000,15.1,10,0,1,0,Diesel
69000,13.68,5,0,1,0,Diesel
51321,21.66,7,0,1,0,Diesel
91795,13.5,6,0,1,0,Diesel
58100,22.7,9,0,1,0,Diesel
80000,21.1,9,0,0,0,Petrol
150000,12.55,6,0,1,0,Diesel
58980,12.8,13,0,1,0,Diesel
47000,20.46,10,0,1,0,Diesel
99000,25.1,9,0,1,0,Diesel
14400,23.95,6,1,0,0,Petrol
4000,15.0,4,1,0,0,Petrol
2277,15.5,4,1,0,0,Petrol
76000,22.77,7,0,1,0,Diesel
19000,17.8,4,1,0,0,Petrol
35000,18.16,7,1,0,0,Petrol
20000,19.34,4,1,0,0,Petrol
22720,17.5,11,1,0,0,Petrol
65328,23.59,6,0,1,0,Diesel
29000,11.0,6,0,1,0,Diesel
25000,17.01,7,1,0,0,Petrol
78000,24.7,5,0,1,0,Diesel
58000,25.5,5,0,1,0,Diesel
5000,24.04,3,1,0,0,Petrol
55000,24.3,6,0,1,0,Diesel
11000,25.5,5,0,1,0,Diesel
69264,21.21,9,0,1,0,Diesel
24132,20.35,5,1,0,0,Petrol
15000,21.63,5,1,0,0,Petrol
60000,15.4,8,0,1,0,Diesel
90000,17.3,18,1,0,0,Petrol
40000,25.1,5,0,1,0,Diesel
27000,20.73,4,1,0,0,Petrol
100000,18.9,11,1,0,0,Petrol
135000,20.0,13,0,1,0,Diesel
66381,20.36,12,1,0,0,Petrol
100000,20.34,10,0,1,0,Diesel
90000,19.3,12,0,1,0,Diesel
30000,24.7,6,1,0,0,Petrol
16315,21.4,5,1,0,0,Petrol
61000,26.0,6,0,1,0,Diesel
20272,24.3,6,0,1,0,Diesel
69000,22.32,10,0,1,0,Diesel
15000,17.4,5,1,0,0,Petrol
75000,28.4,11,0,1,0,Diesel
70000,18.9,14,1,0,0,Petrol
73795,17.5,12,1,0,0,Petrol
36000,16.02,9,1,0,0,Petrol
8000,15.04,5,1,0,0,Petrol
89000,15.0,12,1,0,0,Petrol
4646,22.7,4,1,0,0,Petrol
23746,22.69,9,0,1,0,Diesel
277000,12.99,10,0,1,0,Diesel
180000,12.8,14,0,1,0,Diesel
20000,18.5,13,1,0,0,Petrol
100000,13.2,13,1,0,0,Petrol
45000,30.46,7,0,0,0,Petrol
